student_id,course_id,score,comment
S76,MATH101,52.1,Satisfactory
S76,CS301,94.2,Needs Improvement
S77,MATH201,73.6,Satisfactory
S77,CS101,50.0,Satisfactory
S77,CS301,83.5,Excellent
S77,CS401,75.8,Good
S77,CS202,58.4,Poor
S78,PHYS101,72.3,Needs Improvement
S78,CS301,98.1,Good
S78,FIN101,77.6,Good
S78,MATH101,57.9,Needs Improvement
S79,MATH201,53.2,Excellent
S79,FIN101,71.4,Poor
S79,CS101,52.6,Satisfactory
S80,CS301,50.2,Poor
S80,MATH201,71.8,Excellent
S80,PHYS101,73.6,Excellent
S81,PHYS101,88.5,Satisfactory
S81,CS101,71.6,Poor
S81,CS202,76.9,Excellent
S81,FIN101,87.0,Needs Improvement
S82,FIN101,68.1,Good
S82,CS202,95.7,Good
S82,CS301,68.6,Excellent
S82,CS401,81.6,Needs Improvement
S83,MATH101,56.4,Poor
S83,CS202,73.6,Satisfactory
S83,CS301,75.8,Needs Improvement
S83,CS401,68.4,Needs Improvement
S83,PHYS101,52.7,Excellent
S84,MATH201,82.8,Satisfactory
S84,CS101,61.6,Good
S84,MATH101,89.0,Excellent
S84,CS401,71.1,Poor
S85,CS202,93.6,Good
S85,MATH201,81.8,Excellent
S85,MATH101,64.6,Needs Improvement
S85,CS401,98.3,Poor
S86,PHYS101,79.9,Poor
S86,FIN101,70.2,Needs Improvement
S86,CS301,80.6,Satisfactory
S87,FIN101,59.8,Excellent
S87,PHYS101,77.3,Needs Improvement
S87,CS202,74.4,Needs Improvement
S87,MATH101,50.1,Good
S87,CS301,60.1,Needs Improvement
S88,MATH201,53.0,Good
S88,PHYS101,62.5,Poor
S88,CS202,91.6,Satisfactory
S88,FIN101,84.8,Needs Improvement
S88,CS301,56.9,Poor
S89,CS301,65.1,Needs Improvement
S89,FIN101,93.9,Good
S89,MATH101,89.8,Excellent
S89,MATH201,64.0,Needs Improvement
S89,CS101,69.3,Needs Improvement
S90,CS202,80.2,Poor
S90,CS401,66.5,Poor
S90,MATH201,83.1,Needs Improvement
S91,CS202,91.2,Excellent
S91,CS301,70.6,Good
S91,PHYS101,52.3,Needs Improvement
S92,CS101,93.7,Poor
S92,CS202,87.5,Poor
S92,MATH101,73.2,Satisfactory
S92,CS401,73.0,Poor
S93,MATH201,74.4,Needs Improvement
S93,CS401,93.5,Satisfactory
S93,PHYS101,51.2,Good
S94,MATH101,58.2,Excellent
S94,CS401,54.5,Needs Improvement
S94,PHYS101,77.7,Needs Improvement
S94,CS301,94.8,Good
S94,CS202,74.3,Poor
S95,CS301,99.9,Excellent
S95,CS401,55.1,Satisfactory
S95,CS202,51.6,Good
S95,MATH101,52.5,Poor
S95,CS101,78.8,Poor
S96,CS301,90.7,Poor
S96,CS101,50.3,Good
S96,FIN101,90.1,Satisfactory
S96,MATH201,59.8,Poor
S96,PHYS101,96.1,Satisfactory
S97,MATH201,79.6,Poor
S97,CS101,79.5,Good
S97,CS301,63.6,Good
S97,CS401,61.7,Poor
S97,MATH101,66.0,Excellent
S98,CS101,57.9,Good
S98,MATH201,61.7,Excellent
S98,MATH101,96.2,Poor
S98,CS401,95.8,Excellent
S98,PHYS101,69.3,Excellent
S99,MATH201,60.6,Excellent
S99,CS301,99.7,Poor
S99,CS401,91.5,Satisfactory
S99,MATH101,71.1,Good
S99,CS101,63.5,Needs Improvement
S100,CS101,66.3,Excellent
S100,PHYS101,63.5,Satisfactory
S100,MATH101,81.6,Excellent
S100,CS202,54.1,Good
S100,CS401,86.5,Satisfactory
